rank,team,conference,record,adj_em,adj_o,adj_o_rank,adj_d,adj_d_rank,adj_tempo,adj_tempo_rank,luck,luck_rank,sos_adj_em,sos_adj_em_rank,sos_adj_o,sos_adj_o_rank,sos_adj_d,sos_adj_d_rank,nc_sos_adj_em,nc_sos_adj_em_rank,ncaa_seed,Season,TeamName
237,Eastern Washington,BSky,16-18,-6.57,100.9,245,107.5,240,67.6,159,0.026,113,-4.66,269,102.8,225,107.4,300,7.1,18,,2019,E Washington
238,Eastern Kentucky,OVC,13-18,-6.57,99.2,269,105.8,204,76.4,2,0.012,149,-1.78,194,103.6,175,105.4,205,0.92,136,,2019,Eastern Kentucky
239,Sacred Heart,NEC,15-17,-6.71,104,177,110.7,299,71.8,24,-0.062,315,-7.71,327,100.3,316,108,324,-1.19,205,,2019,Sacred Heart
240,Holy Cross,Pat,16-17,-6.8,100.9,243,107.7,245,63.4,335,0.067,33,-3.46,236,103.1,203,106.5,248,-1.89,225,,2019,Holy Cross
241,Air Force,MWC,14-18,-6.84,100.4,250,107.3,238,66.4,234,0.03,102,-1.14,175,102.9,221,104,152,-3.87,277,,2019,Air Force
242,Army,Pat,13-19,-6.85,96.1,311,103,148,69.6,76,-0.028,251,-4.41,262,103.2,198,107.6,310,-4.48,293,,2019,Army
243,California,P12,8-23,-7.2,102.9,198,110.1,288,66.4,232,0.037,88,4.68,69,106.5,72,101.8,75,0.21,164,,2019,California
244,Middle Tennessee,CUSA,11-21,-7.21,98.1,284,105.3,197,67.5,171,0.013,147,2.02,96,103.9,169,101.8,76,10.28,5,,2019,Middle Tennessee
245,Drexel,CAA,13-19,-7.37,105.5,149,112.9,327,68.9,100,0.004,173,-2.66,216,104.4,140,107.1,283,-1.22,206,,2019,Drexel
246,Troy,SB,12-18,-7.4,102.8,203,110.2,290,66.9,207,0.053,61,-0.19,150,104.3,147,104.5,176,1.51,120,,2019,Troy
247,Rice,CUSA,13-19,-7.48,102.8,200,110.3,293,70,62,0,183,-1.89,201,101.3,287,103.2,115,0.61,148,,2019,Rice
248,UC Davis,BW,11-20,-7.49,96.2,308,103.7,158,65.7,270,-0.043,283,-1.51,184,103.1,205,104.6,182,5.03,46,,2019,UC Davis
249,The Citadel,SC,12-18,-7.59,106.6,126,114.2,336,73.5,11,0.028,108,1.57,107,105.4,95,103.8,143,0.29,159,,2019,The Citadel
250,Jacksonville,ASun,12-20,-7.6,98.7,277,106.3,216,70.8,39,-0.056,306,-3.36,233,102.2,246,105.6,210,-3.91,282,,2019,Jacksonville
251,Western Michigan,MAC,8-24,-7.61,99,273,106.6,225,69.1,94,-0.039,275,2.95,92,106.1,77,103.2,116,-3.01,256,,2019,W Michigan
252,Montana St.,BSky,15-17,-7.64,107.4,113,115.1,344,69.8,68,0.008,157,-6.31,294,102,264,108.3,335,3.93,69,,2019,MTSU
253,New Orleans,Slnd,19-13,-7.68,97,299,104.7,180,68.2,137,0.093,13,-6.67,301,100.7,304,107.4,294,6.7,23,,2019,New Orleans
254,Arkansas St.,SB,13-19,-7.69,102.3,209,109.9,284,68.1,140,0.086,18,-0.27,153,104.6,131,104.9,192,1,135,,2019,Arkansas St
